t_sec,ABack_x,ABack_y,ABack_z
567.14,0.778809,-0.493652,0.391113
567.15,0.643066,-0.237793,-0.07666
567.16,0.503906,0.068359,-0.287598
567.17,0.369629,0.393066,-0.164551
567.18,0.273438,0.631836,-0.008301
567.19,0.231934,0.881836,0.229004
567.2,0.179199,1.020996,0.335938
567.21,0.146484,1.032227,0.450684
567.22,0.116211,0.969727,0.875488
567.23,0.258301,0.954102,1.085449
567.24,0.443848,0.678711,1.206055
567.25,0.696289,0.451172,1.500488
567.26,0.85498,0.288086,1.800781
567.27,0.716309,0.369629,2.119141
567.28,0.629395,0.296387,2.012207
567.29,0.851074,-0.114258,1.974609
567.3,1.230469,-0.651855,1.939453
567.31,1.275391,-0.914063,1.571777
567.32,1.025879,-1.046387,1.130859
567.33,0.705566,-1.141113,0.839844
567.34,0.450195,-0.94043,0.535645
567.35,0.155273,-0.539063,0.182617
567.36,-0.098145,-0.198242,-0.168945
567.37,-0.212891,0.035645,-0.386719
567.38,-0.343262,0.373047,-0.222656
567.39,-0.472656,0.639648,-0.036621
567.4,-0.627441,0.910156,0.327637
567.41,-0.849609,1.022461,0.620605
567.42,-1.022461,0.864258,0.998047
567.43,-0.851074,0.541992,1.097656
567.44,-0.687012,0.188965,1.254883
567.45,-0.616211,-0.191895,1.548828
567.46,-0.512695,-0.481445,1.78418
567.47,-0.179688,-0.75,1.889648
567.48,0.118164,-0.807617,1.778809
567.49,0.254395,-0.607422,1.654297
567.5,0.335938,-0.585449,1.553223
567.51,0.452637,-0.521973,1.205566
567.52,0.650879,-0.581055,0.975098
567.53,0.746582,-0.536621,0.702637
567.54,0.820313,-0.40918,0.542969
567.55,0.77832,-0.29248,0.21875
567.56,0.616211,-0.122559,-0.105469
567.57,0.518066,0.085938,-0.231934
567.58,0.456055,0.281738,-0.078125
567.59,0.395996,0.474609,0.039063
567.6,0.293457,0.704102,0.208496
567.61,0.224609,0.87207,0.30957
